Min_Range,Max_Range,Description
-9999,0,"0"
001,549,"LT 550"
550,559,"550-559"
560,569,"560-569"
570,579,"570-579"
580,589,"580-589"
590,599,"590-599"
600,609,"600-609"
610,619,"610-619"
620,629,"620-629"
630,639,"630-639"
640,649,"640-649"
650,659,"650-659"
660,669,"660-669"
670,679,"670-679"
680,689,"680-689"
690,699,"690-699"
700,709,"700-709"
710,719,"710-719"
720,729,"720-729"
730,739,"730-739"
740,749,"740-749"
750,759,"750-759"
760,769,"760-769"
770,779,"770-779"
780,789,"780-789"
790,799,"790-799"
800,1500,"GT 800"
