RAIL_TYPE,INITIATOR,TRANSACTION_CATEGORY,TRANSACTION_CD,DP_REF_NO,MERCHANT_CATEGORY,TERMINAL_ENTRY,TRANSACTION_METHOD,TRANSACTION_TYPE,TRANSACTION_DESC,TERMS_BALANCE_CD,CLASS_CD,CREATE_DT,CREATE_USER_ID,CREATE_FUNCTION_NAME,UPDATE_DT,UPDATE_USER_ID,UPDATE_FUNCTION_NAME
BPAY,PCB,0001,0101,01,,,ONLINE_BANKING,UNKNOWN_WITHDRWAL,Funds Out - Bill Payment,1001 - PR,,,,,,,
BPAY,PCB,0001,0160,01,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - Bill Payment Adjustment - Credit,1001 - PR,,,,,,,
BPAY,PCB,0001,0130,01,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - Bill Payment Adjustment - Debit,1001 - PR,,,,,,,
BPAY,PCB,0001,0101,39,,,ONLINE_BANKING,UNKNOWN_WITHDRWAL,Funds Out - Bill Payment,1001 - PR,,,,,,,
BPAY,PCB,0001,0160,39,,,ONLINE_BANKING,ADJUSTMENT_CREDIT,Funds In - Bill Payment Adjustment - Credit,1001 - PR,,,,,,,
BPAY,PCB,0001,0130,39,,,ONLINE_BANKING,ADJUSTMENT_DEBIT,Funds Out - Bill Payment Adjustment - Debit,1001 - PR,,,,,,,
ABM,NA,6702,3005,,,,ATM,CASH_WITHDRAWAL,Funds Out - ABM Cash Withdrawal (PCF) With fee,1001 - PR,,,,,,,
ABM,NA,6702,0105,,,,ATM,CASH_WITHDRAWAL,Funds Out - ABM Cash Withdrawal (PCF) Without fee,1001 - PR,,,,,,,
ABM,NA,0003,0239,,,,ATM,ADJUSTMENT_CREDIT,Funds In - Cash Advance Adjustment - Credit,1001 - PR,,,,,,,
ABM,NA,0003,0238,,,,ATM,ADJUSTMENT_DEBIT,Funds Out - Cash Advance Adjustment - Debit,1001 - PR,,,,,,,
