CDIC_Personal_ID_Type_Code|Description
1|Birth Certificate from Canadian province or territory
2|Canadian Certificate of Registration of Birth Abroad
3|Canadian Immigration Identification Card
4|Certified Statement of Live Birth from a Canadian province or territory
5|Certificate of Canadian Citizenship
6|Certificate of Indian Status
7|Confirmation of Permanent Residence
8|Credit Card
9|Current Employee ID
10|Current Professional Association License
11|Old Age Security Card
12|Motor Vehicle Permit
13|Passport - Canadian
14|Passport - Foreign
15|Permanent Resident Card
16|Protected Person Status Document
17|Record of Landing
18|Registered Indian Record
19|Student ID Card
20|Temporary Resident Permit
21|Union Card
22|Valid Driver's License
23|Work Permit
24|Social Insurance Number
25|Bank Card Number
26|CRA Business Number
27|CRA Trust Account Number
28|Government issued identification from Canadian province or territory
29|National Identification Number - Foreign
30|Liquor ID Card
31|Service Card
32|Provincial Health Card
33|Canadian Forces Card
34|Provincial/Territorial Photo ID Card
35|Age of Majority Card
