Landing_Zone_Dataset,Landing_Zone_Table,Curated_Zone_Dataset,Curated_Zone_View,Landing_Zone_Name,Curated_Zone_Name,Rationale
domain_account_management,ACCESS_MEDIUM,domain_account_management,ACCESS_MEDIUM,ACCESS_MEDIUM_NO,CARD_NUMBER,This is always a card number
domain_account_management,ACCOUNT,domain_account_management,ACCOUNT,ACCOUNT_NO,MAST_ACCOUNT_ID,TSYS account ID
domain_account_management,ACCOUNT_CUSTOMER,domain_account_management,ACCOUNT_CUSTOMER,ACCOUNT_CUSTOMER_NO,MAST_CUSTOMER_ID,TSYS customer ID
domain_account_management,TSYS_PCB_MC_ACCTMASTER_DAILY_AM00_REC,domain_account_management,AM00,AM00_APPLICATION_SUFFIX,MAST_ACCOUNT_SUFFIX,sequentially generated Application Number used to tie card numbers and account information
domain_account_management,TSYS_PCB_MC_ACCTMASTER_DAILY_AM00_REC,domain_account_management,AM00,AM00_CLIENT_PRODUCT_CODE,CLIENT_PRODUCT_CODE,identifies the type of product/plan that a customer uses
domain_account_management,TSYS_PCB_MC_ACCTMASTER_DAILY_AM00_REC,domain_account_management,AM00,AM00_TSYS_PRODUCT_CODE,TSYS_PRODUCT_CODE,bringing name in line with the same column in BATCH_AUTHORIZATION_LOG
domain_account_management,TSYS_PCB_MC_ACCTMASTER_DAILY_AM01_REC,domain_account_management,AM01,AM01_ACCOUNT_NUM,CARD_NUMBER,This is the same as a customer's card number
domain_account_management,TSYS_PCB_MC_ACCTMASTER_DAILY_AM01_REC,domain_account_management,AM01,AM01_CUSTOMER_ID,MAST_CUSTOMER_ID,TSYS customer ID
domain_account_management,TSYS_PCB_MC_ACCTMASTER_DAILY_AM0E_REC,domain_account_management,AM0E,AM0E_CUSTOMER_ID,MAST_CUSTOMER_ID,TSYS customer ID
domain_account_management,TSYS_PCB_MC_ACCTMASTER_DAILY_AM00_REC_PREVIOUS,domain_account_management,AM00,AM00_APPLICATION_SUFFIX,MAST_ACCOUNT_SUFFIX,sequentially generated Application Number used to tie card numbers and account information
domain_account_management,TSYS_PCB_MC_ACCTMASTER_DAILY_AM00_REC_PREVIOUS,domain_account_management,AM00,AM00_CLIENT_PRODUCT_CODE,CLIENT_PRODUCT_CODE,identifies the type of product/plan that a customer uses
domain_account_management,TSYS_PCB_MC_ACCTMASTER_DAILY_AM00_REC_PREVIOUS,domain_account_management,AM00,AM00_TSYS_PRODUCT_CODE,TSYS_PRODUCT_CODE,bringing name in line with the same column in BATCH_AUTHORIZATION_LOG
domain_account_management,TSYS_PCB_MC_ACCTMASTER_DAILY_AM01_REC_PREVIOUS,domain_account_management,AM01,AM01_ACCOUNT_NUM,CARD_NUMBER,This is the same as a customer's card number
domain_account_management,TSYS_PCB_MC_ACCTMASTER_DAILY_AM01_REC_PREVIOUS,domain_account_management,AM01,AM01_CUSTOMER_ID,MAST_CUSTOMER_ID,TSYS customer ID
domain_account_management,TSYS_PCB_MC_ACCTMASTER_DAILY_AM0E_REC_PREVIOUS,domain_account_management,AM0E,AM0E_CUSTOMER_ID,MAST_CUSTOMER_ID,TSYS customer ID
domain_account_management,TSYS_ACCT_MISC_MA00_REC,domain_account_management,MA00,MA00_APPLICATION_SUFFIX,MAST_ACCOUNT_SUFFIX,sequentially generated Application Number used to tie card numbers and account information
domain_account_management,TSYS_ACCT_MISC_MA01_REC,domain_account_management,MA01,MA01_CUSTOMER_ID,MAST_CUSTOMER_ID,TSYS customer ID
