TABLE_NAME,DATASET_ID,PLANNED_SCHEDULE,SOURCE,FREQUENCY,BUFFER_IN_MINUTES,BUSINESS_CUTOFF_TIME
ALTERNATE_CONTACT,ODSDataset,20:30,db,daily,30,
PAF_AUDIT,cots_customer_service_blockworx,06:55,db,daily,30,
PAF_MESSAGE_CONTENT,cots_customer_service_blockworx,08:10,db,daily,30,
PAF_BUS_PROCESS,cots_customer_service_blockworx,08:10,db,daily,30,
ACCOUNT_SNAPSHOT,domain_account_management,01:00,db,daily,30,
ACCOUNT_CUSTOMER_ROLE,domain_account_management,6:00,db,daily,300,11:00
STATEMENT_CYCLE,domain_account_management,02:00,db,daily,30,
PRODUCT,domain_account_management,3:30,db,daily,150,6:00
ACCESS_MEDIUM,domain_account_management,3:30,db,daily,150,6:00
ACCOUNT_IDENTIFIER,domain_account_management,02:00,db,daily,30,
ACCOUNT,domain_account_management,3:30,db,daily,150,6:00
ACCOUNT_CUSTOMER,domain_account_management,3:30,db,daily,150,6:00
OPERATOR_INQUIRY,domain_account_management,07:30,db,2-6,30,
REF_FMREQ_STATUS_REASON_CD,domain_account_management,07:50,db,daily,30,
MASS_COMP_CARDS,domain_account_management,08:05,db,daily,30,
ACCOUNT_CUSTOMER_PREF_CONTACT,domain_account_management,08:05,db,daily,30,
ACCOUNT_CUSTOMER_PREF_PARAM,domain_account_management,08:10,db,daily,30,
ACCOUNT_CUSTOMER_PREFERENCE,domain_account_management,08:10,db,daily,30,
POST_MON,domain_account_management,8:05,db,daily,55,9:00
GOAL_ACCOUNT,domain_account_management,08:30,db,daily,30,
TOKEN_NOTIFY,domain_account_management,8:15,db,daily,45,9:00
ACCT_CUST_PREF_PARAM_HISTORY,domain_account_management,08:40,db,daily,30,
REF_MERCHANT_CATEGORY,domain_account_management,20:30,db,daily,30,
REF_MERCHANT_CATEGORY_GROUP,domain_account_management,20:30,db,daily,30,
PRODUCT_HIERARCHY_LEVEL,domain_account_management,21:00,db,daily,30,
ACCOUNT_AUTOPAY_REQ,domain_account_management,,db,half-hourly,30,
ACCOUNT_PRODUCT_CHANGE_REQ,domain_account_management,,db,half-hourly,30,
ACCOUNT_AUTOPAY_REQ_STAT,domain_account_management,,db,half-hourly,30,
