project,project_name,team_name,board_id
PCBDA,PCB: Digital Adoption,Bees,548
PCBDA,PCB: Digital Adoption,Spiders,555
PCBDA,PCB: Digital Adoption,Fireflies,542
PCBDA,PCB: Digital Adoption,Transformers,1649
PCMM,PCB: Money Movement,Gold Miners,517
PCMM,PCB: Money Movement,Gold Alchemist,544
PCMM,PCB: Money Movement,Goldsmiths,634
PCMM,PCB: Money Movement,Prospectors,515
PCGS,PCB: Growth & Sales,G&S Avengers,565
PCGS,PCB: Growth & Sales,Post App,564
PCGS,PCB: Growth & Sales,G&S India,564
PCGS,PCB: Growth & Sales,G&S Toronto,565
PCOC,PCB: Convergence,Starlink,504
PCBRM,PCB: Risk Management,Defenders,527
PCCOM,PCB: Communications,Telegraphers,523
PCBIV,PCB: IAM & Verification,Ogres,521
PCCS,PCB: Customer Service,Hermes,563
PCCS,PCB: Customer Service,Dispute,616
PCCS,PCB: Customer Service,Hermes Core,563
PCCS,PCB: Customer Service,Hermes SF,563
PCBDF,PCB: Data Foundation,Centaurs,535
PCBDF,PCB: Data Foundation,Dataplex,1637
PCBAI,PCB: Artificial Intelligence,MindFlares,601
GOCP,PCS: Gift Cards,ROC,311
PCIPS,PCS: PC Insurance,Chupacabra,288
PMP,PCS: PC Mobile,Ratatoskrs,331
TMSP,PCS: The Mobile Shop,Ratatoskrs,303
PLATFORMS,P&S: Platforms,Kraken,344
PLATFORMS,P&S: Platforms,Minotaur,437
PLATFORMS,P&S: Platforms,Chimera,436
PLATFORMS,P&S: Platforms,Werewolves,522
PLATFORMS,P&S: Platforms,Cyclops,592
