offerFulfillmentId,accountId,tsysAccountId,offerTriggerId,periodStartTimestamp,periodEndTimestamp,trackerType,status,currentValue,targetValue,points,fulfilledTimestamp,fulfilledTransactionId,createTimestamp,createUserId,updateTimestamp,updateUserId,eventType
-1,11579585,8903474,67,2025-09-03 00:00:00,2025-12-03 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-2,11579591,8903478,67,2025-09-03 00:00:00,2025-12-03 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-3,11579934,8903794,67,2025-09-03 00:00:00,2025-12-03 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-4,11580240,8904059,67,2025-09-03 00:00:00,2025-12-03 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-5,11580315,8904131,67,2025-09-03 00:00:00,2025-12-03 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-6,11580351,8904163,67,2025-09-03 00:00:00,2025-12-03 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-7,11580412,8904218,67,2025-09-03 00:00:00,2025-12-03 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-8,11580606,8904392,67,2025-09-03 00:00:00,2025-12-03 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-9,11580761,8904534,67,2025-09-03 00:00:00,2025-12-03 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-10,11581247,8904944,67,2025-09-03 00:00:00,2025-12-03 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-11,11585202,8905008,67,2025-09-05 00:00:00,2025-12-05 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-12,11581437,8905123,67,2025-09-03 00:00:00,2025-12-03 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-13,11581598,8905265,67,2025-09-03 00:00:00,2025-12-03 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-14,11581667,8905330,67,2025-09-03 00:00:00,2025-12-03 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-15,11581770,8905433,67,2025-09-03 00:00:00,2025-12-03 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-16,11582172,8905749,67,2025-09-04 00:00:00,2025-12-04 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-17,11582237,8905810,67,2025-09-04 00:00:00,2025-12-04 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-18,11582596,8906121,67,2025-09-04 00:00:00,2025-12-04 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-19,11582634,8906154,67,2025-09-04 00:00:00,2025-12-04 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-20,11582729,8906239,67,2025-09-04 00:00:00,2025-12-04 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-21,11582746,8906256,67,2025-09-04 00:00:00,2025-12-04 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-22,11582887,8906383,67,2025-09-04 00:00:00,2025-12-04 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-23,11582964,8906453,67,2025-09-04 00:00:00,2025-12-04 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-24,11583213,8906669,67,2025-09-04 00:00:00,2025-12-04 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-25,11585220,8906700,67,2025-09-05 00:00:00,2025-12-05 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-26,11583874,8907223,67,2025-09-04 00:00:00,2025-12-04 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-27,11584142,8907440,67,2025-09-04 00:00:00,2025-12-04 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-28,11584377,8907611,67,2025-09-04 00:00:00,2025-12-04 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-29,11584782,8907846,67,2025-09-04 00:00:00,2025-12-04 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
-30,11587324,8907985,67,2025-09-06 00:00:00,2025-12-06 00:00:00,PCHCNT,OP,0,1,0,null,null,null,SYSTEM,null,null,ADD
